square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-01,-32,-30,-22,-34,-38,-54,-56,-46
s-01,-30,-30,-24,-36,-40,-54,-56,-48
s-01,-30,-32,-28,-36,-38,-54,-56,-48
s-01,-30,-32,-24,-34,-40,-54,-56,-48
s-01,-30,-30,-24,-34,-40,-54,-56,-48
s-01,-28,-32,-22,-34,-40,-56,-54,-46
s-01,-32,-32,-24,-34,-40,-56,-56,-48
s-01,-30,-32,-24,-34,-40,-56,-56,-90
s-01,-30,-28,-22,-36,-38,-56,-56,-48
s-01,-32,-30,-22,-34,-40,-56,-56,-48
s-01,-32,-30,-24,-34,-40,-56,-56,-48
s-01,-34,-32,-24,-34,-38,-56,-56,-48
s-01,-32,-30,-24,-34,-40,-56,-56,-48
s-01,-28,-30,-24,-36,-40,-56,-56,-48
s-01,-32,-32,-36,-36,-38,-56,-56,-48
s-01,-32,-30,-24,-36,-38,-56,-56,-48
s-01,-32,-32,-28,-36,-40,-56,-56,-46
s-01,-32,-32,-24,-34,-40,-56,-56,-46
s-01,-32,-30,-24,-34,-40,-56,-56,-48
s-01,-30,-30,-24,-34,-40,-56,-56,-48
s-01,-30,-32,-24,-36,-38,-56,-60,-44
s-01,-32,-30,-22,-34,-36,-56,-56,-48
s-01,-30,-32,-24,-34,-38,-56,-60,-46
s-01,-32,-60,-24,-34,-38,-56,-56,-44
s-01,-32,-30,-22,-34,-38,-56,-56,-46
s-01,-32,-30,-24,-34,-38,-56,-56,-44
s-01,-30,-28,-24,-34,-38,-54,-56,-46
s-01,-30,-30,-24,-34,-40,-54,-56,-46
s-01,-30,-30,-24,-34,-40,-54,-56,-46
s-01,-32,-30,-22,-34,-38,-54,-56,-46
s-01,-30,-30,-24,-34,-38,-54,-60,-46
s-01,-30,-32,-24,-34,-38,-54,-56,-48
s-01,-30,-32,-22,-34,-38,-54,-56,-46
s-01,-32,-30,-24,-36,-38,-56,-56,-46
s-01,-32,-32,-24,-36,-38,-58,-56,-46
s-01,-32,-32,-76,-36,-40,-58,-56,-46
s-01,-30,-30,-24,-36,-40,-54,-56,-48
s-01,-30,-32,-24,-34,-38,-54,-56,-48
s-01,-32,-30,-46,-34,-38,-54,-56,-46
s-01,-38,-32,-24,-34,-38,-54,-56,-48
s-01,-60,-30,-24,-34,-38,-54,-56,-46
s-01,-32,-32,-68,-90,-38,-52,-56,-46
s-01,-30,-28,-22,-34,-40,-52,-56,-48
s-01,-30,-32,-24,-34,-40,-58,-56,-46
s-01,-30,-30,-28,-36,-38,-56,-56,-46
s-01,-30,-28,-36,-38,-38,-56,-60,-44
s-01,-30,-32,-22,-38,-40,-54,-58,-90
s-01,-30,-30,-24,-36,-38,-54,-60,-90
s-01,-30,-30,-22,-36,-38,-56,-60,-46
s-01,-30,-30,-24,-36,-38,-56,-58,-88
s-01,-30,-32,-24,-38,-38,-52,-68,-50
s-01,-66,-30,-22,-38,-38,-52,-64,-48
s-01,-66,-32,-24,-38,-38,-52,-66,-44
s-01,-32,-36,-22,-36,-40,-52,-66,-46
s-01,-32,-28,-24,-36,-38,-52,-60,-46
s-01,-32,-28,-22,-36,-40,-54,-54,-52
s-01,-32,-28,-24,-34,-42,-54,-56,-52
s-01,-32,-28,-64,-34,-40,-54,-54,-48
s-01,-32,-28,-22,-34,-40,-54,-58,-48
s-01,-26,-28,-44,-34,-40,-54,-58,-48
s-01,-30,-28,-22,-34,-40,-54,-60,-48
s-01,-26,-30,-22,-34,-38,-54,-62,-72
s-01,-26,-26,-24,-34,-40,-54,-54,-44
s-01,-32,-28,-22,-34,-40,-56,-56,-48
s-01,-32,-28,-24,-34,-40,-56,-56,-46
s-01,-32,-60,-24,-34,-40,-54,-54,-52
s-01,-30,-64,-22,-36,-40,-50,-56,-52
s-01,-32,-28,-24,-36,-62,-56,-56,-52
s-01,-32,-30,-24,-36,-40,-56,-56,-52
s-01,-32,-28,-24,-36,-40,-56,-56,-60
s-01,-40,-30,-24,-36,-42,-56,-58,-60
s-01,-32,-28,-26,-36,-42,-56,-60,-48
s-01,-30,-32,-30,-46,-40,-52,-54,-42
s-01,-28,-28,-30,-38,-36,-52,-52,-46
s-01,-28,-28,-28,-42,-36,-52,-54,-48
s-01,-28,-28,-24,-42,-36,-52,-52,-46
s-01,-30,-28,-24,-36,-36,-62,-80,-50
s-01,-30,-28,-60,-36,-52,-58,-54,-50
s-01,-34,-28,-24,-36,-52,-58,-52,-52
s-01,-32,-28,-24,-32,-52,-58,-56,-48
s-01,-34,-28,-24,-34,-34,-58,-54,-46
s-01,-34,-28,-24,-34,-36,-58,-52,-64
s-01,-34,-32,-22,-34,-36,-58,-52,-48
s-01,-34,-30,-26,-34,-36,-68,-52,-44
s-01,-32,-28,-64,-38,-68,-60,-52,-48
s-01,-30,-28,-64,-38,-36,-58,-54,-48
s-01,-30,-28,-32,-38,-36,-58,-52,-48
s-01,-28,-28,-32,-40,-36,-58,-52,-64
s-01,-28,-28,-32,-32,-38,-56,-52,-64
s-01,-34,-28,-32,-40,-38,-56,-50,-46
s-01,-28,-28,-30,-38,-40,-62,-52,-46
s-01,-30,-78,-22,-34,-34,-64,-52,-48
s-01,-30,-30,-28,-34,-36,-64,-52,-48
s-01,-32,-28,-22,-36,-36,-64,-52,-64
s-01,-54,-28,-22,-36,-36,-64,-52,-48
s-01,-32,-30,-22,-60,-36,-64,-52,-60
s-01,-32,-28,-22,-36,-36,-64,-52,-60
s-01,-34,-28,-22,-36,-36,-64,-52,-48
s-01,-34,-28,-22,-36,-36,-60,-50,-48
s-01,-32,-28,-22,-34,-36,-60,-52,-48
s-01,-30,-28,-24,-34,-34,-60,-52,-48
s-01,-32,-28,-36,-34,-34,-62,-52,-48
s-01,-28,-28,-28,-34,-36,-62,-52,-48
s-01,-34,-28,-24,-34,-34,-60,-52,-48
s-01,-28,-28,-24,-34,-36,-58,-52,-48
s-01,-28,-28,-22,-36,-62,-60,-52,-66
s-01,-32,-28,-22,-36,-34,-58,-52,-48
s-01,-34,-28,-24,-36,-34,-58,-52,-48
s-01,-34,-28,-28,-36,-34,-62,-52,-48
s-01,-34,-28,-60,-36,-34,-54,-52,-52
s-01,-32,-28,-60,-36,-36,-54,-52,-48
s-01,-32,-30,-60,-34,-36,-62,-52,-60
s-01,-32,-28,-22,-84,-34,-62,-52,-48
s-01,-30,-28,-24,-84,-36,-62,-54,-48
s-01,-32,-28,-28,-84,-36,-58,-52,-48
s-01,-34,-32,-24,-34,-36,-62,-50,-48
s-01,-34,-32,-24,-34,-34,-62,-52,-48
s-01,-32,-26,-24,-34,-34,-62,-52,-48
s-01,-28,-30,-22,-36,-34,-62,-52,-48
s-01,-28,-24,-24,-34,-36,-62,-52,-48
s-01,-28,-28,-24,-34,-34,-62,-54,-80
s-01,-32,-28,-24,-36,-34,-62,-52,-48
s-01,-32,-30,-24,-34,-34,-60,-52,-48
s-01,-34,-28,-22,-34,-34,-60,-52,-48
s-01,-28,-28,-24,-34,-34,-60,-52,-86
s-01,-34,-28,-24,-34,-34,-60,-52,-84
s-01,-32,-32,-22,-34,-34,-60,-52,-48
s-01,-52,-28,-22,-34,-34,-60,-52,-48
s-01,-52,-28,-22,-34,-34,-60,-52,-48
s-01,-32,-26,-22,-36,-34,-58,-88,-48
s-01,-32,-30,-22,-34,-36,-58,-52,-48
s-01,-32,-60,-24,-36,-34,-58,-50,-48
s-01,-32,-28,-24,-70,-34,-58,-52,-48
s-01,-28,-28,-24,-36,-34,-58,-84,-48
s-01,-34,-26,-24,-32,-36,-58,-52,-52
s-01,-34,-28,-22,-34,-36,-58,-90,-52
s-01,-34,-28,-24,-34,-36,-60,-54,-52
s-01,-34,-28,-24,-34,-36,-60,-52,-52
s-01,-32,-34,-32,-38,-48,-48,-52,-52
s-01,-30,-32,-17,-40,-44,-48,-52,-42
s-01,-30,-32,-21,-44,-44,-48,-52,-58
s-01,-30,-34,-60,-44,-44,-50,-52,-44
s-01,-32,-34,-19,-40,-48,-50,-50,-44
s-01,-30,-36,-17,-40,-48,-50,-50,-42
s-01,-32,-32,-17,-42,-48,-52,-56,-42
s-01,-30,-34,-17,-40,-50,-50,-50,-42
s-01,-34,-34,-17,-40,-50,-50,-52,-42
s-01,-32,-32,-19,-40,-50,-50,-50,-42
s-01,-30,-32,-19,-40,-48,-50,-48,-42
s-01,-30,-32,-19,-40,-48,-48,-50,-42
s-01,-32,-32,-17,-40,-48,-52,-50,-42
s-01,-34,-54,-17,-40,-48,-52,-50,-42
s-01,-30,-32,-17,-40,-54,-50,-50,-42
s-01,-32,-32,-17,-40,-48,-50,-50,-44
s-01,-30,-32,-17,-40,-48,-52,-50,-42
s-01,-30,-34,-19,-40,-48,-50,-50,-44
s-01,-32,-32,-19,-40,-50,-50,-50,-42
s-01,-30,-32,-17,-40,-48,-48,-50,-44
s-01,-32,-32,-19,-40,-48,-52,-50,-44
s-01,-30,-32,-84,-40,-50,-52,-50,-42
s-01,-30,-32,-17,-40,-48,-52,-50,-42
s-01,-30,-32,-60,-40,-50,-74,-50,-42
s-01,-32,-32,-20,-40,-52,-74,-52,-42
s-01,-28,-32,-17,-40,-50,-74,-50,-44
s-01,-32,-44,-19,-38,-50,-52,-50,-44
s-01,-30,-34,-88,-40,-52,-50,-52,-44
s-01,-30,-32,-19,-42,-48,-50,-50,-42
s-01,-32,-32,-19,-50,-46,-50,-48,-42
s-01,-32,-34,-19,-42,-48,-50,-52,-42
s-01,-28,-32,-19,-42,-48,-50,-50,-44
s-01,-32,-32,-20,-42,-48,-50,-64,-66
s-01,-30,-32,-40,-42,-48,-50,-50,-84
s-01,-32,-34,-17,-42,-48,-50,-50,-42
s-01,-32,-36,-19,-42,-48,-50,-52,-42
s-01,-50,-32,-19,-42,-48,-48,-50,-42
