square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-36,-60,-36,-28,-68,-56,-60,-68,-58,D8:07:B6:6E:4E:0A
s-01,-36,-20,-36,-28,-66,-56,-60,-60,-60,D8:07:B6:6E:4E:F4
s-01,-36,-68,-36,-28,-68,-58,-60,-60,-60,D8:07:B6:6E:4E:0A
s-01,-36,-20,-36,-30,-74,-58,-60,-60,-62,D8:07:B6:6E:4E:F4
s-01,-40,-64,-34,-28,-76,-58,-60,-58,-64,D8:07:B6:6E:4E:0A
s-01,-38,-22,-36,-28,-64,-58,-60,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-28,-64,-72,-60,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-64,-72,-60,-58,-62,D8:07:B6:6E:4E:F4
s-01,-38,-60,-36,-30,-64,-58,-60,-58,-62,D8:07:B6:6E:4E:0A
s-01,-38,-22,-36,-30,-62,-76,-42,-58,-56,D8:07:B6:6E:4E:F4
s-01,-38,-22,-60,-28,-60,-76,-40,-60,-56,D8:07:B6:6E:4E:F4
s-01,-38,-20,-34,-28,-60,-76,-40,-58,-56,D8:07:B6:6E:4E:F4
s-01,-38,-20,-34,-28,-60,-58,-42,-58,-56,D8:07:B6:6E:4E:F4
s-01,-38,-72,-36,-30,-60,-58,-42,-58,-56,D8:07:B6:6E:4E:0A
s-01,-60,-20,-36,-28,-58,-58,-42,-54,-64,D8:07:B6:6E:4E:F4
s-01,-40,-20,-36,-30,-68,-58,-42,-58,-64,D8:07:B6:6E:4E:F4
s-01,-40,-76,-36,-30,-68,-60,-42,-58,-64,D8:07:B6:6E:4E:0A
s-01,-36,-22,-36,-30,-62,-60,-42,-58,-58,D8:07:B6:6E:4E:F4
s-01,-60,-22,-38,-30,-64,-58,-42,-58,-62,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-30,-64,-60,-42,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-28,-64,-60,-36,-60,-64,D8:07:B6:6E:4E:F4
s-01,-40,-24,-38,-30,-64,-60,-36,-60,-64,D8:07:B6:6E:4E:F4
s-01,-40,-22,-38,-32,-68,-60,-36,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-38,-30,-68,-60,-42,-60,-60,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-30,-68,-60,-42,-60,-60,D8:07:B6:6E:4E:F4
s-01,-36,-62,-36,-30,-62,-60,-42,-76,-60,D8:07:B6:6E:4E:0A
s-01,-36,-20,-36,-30,-68,-60,-42,-60,-60,D8:07:B6:6E:4E:F4
s-01,-36,-76,-34,-30,-64,-60,-42,-60,-60,D8:07:B6:6E:4E:0A
s-01,-38,-20,-34,-30,-64,-60,-42,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-40,-76,-30,-66,-60,-38,-60,-64,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-32,-68,-60,-38,-60,-62,D8:07:B6:6E:4E:F4
