square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-02,-52,-50,-40,-34,-46,-66,-32,-40
s-02,-54,-48,-40,-88,-48,-66,-32,-36
s-02,-54,-48,-38,-34,-78,-66,-32,-38
s-02,-50,-50,-38,-34,-46,-66,-32,-42
s-02,-50,-52,-38,-36,-44,-66,-30,-38
s-02,-50,-52,-38,-34,-44,-66,-32,-30
s-02,-60,-52,-40,-36,-46,-62,-30,-32
s-02,-60,-52,-40,-44,-46,-64,-30,-44
s-02,-52,-52,-40,-34,-44,-64,-30,-40
s-02,-50,-48,-40,-34,-46,-66,-32,-36
s-02,-46,-50,-40,-34,-46,-66,-32,-38
s-02,-54,-50,-68,-36,-48,-66,-30,-42
s-02,-46,-50,-40,-34,-68,-64,-30,-40
s-02,-52,-50,-40,-36,-48,-64,-32,-38
s-02,-52,-50,-60,-34,-46,-64,-32,-38
s-02,-46,-50,-40,-36,-44,-64,-32,-36
s-02,-54,-50,-40,-36,-68,-64,-32,-36
s-02,-50,-50,-40,-34,-46,-64,-30,-36
s-02,-52,-50,-40,-34,-68,-64,-32,-36
s-02,-52,-50,-40,-34,-48,-64,-30,-34
s-02,-54,-50,-36,-34,-46,-64,-30,-38
s-02,-52,-50,-40,-36,-46,-64,-32,-40
s-02,-54,-50,-40,-34,-48,-64,-32,-44
s-02,-52,-50,-40,-36,-46,-64,-32,-40
s-02,-44,-50,-38,-34,-68,-64,-30,-40
s-02,-52,-50,-40,-34,-44,-64,-32,-40
s-02,-52,-50,-40,-34,-46,-56,-32,-38
s-02,-52,-50,-38,-34,-46,-56,-32,-36
s-02,-50,-50,-38,-36,-46,-56,-32,-40
s-02,-52,-50,-40,-32,-46,-56,-32,-32
s-02,-52,-50,-38,-34,-46,-66,-32,-40
s-02,-52,-50,-38,-34,-48,-64,-32,-40
s-02,-52,-52,-40,-34,-48,-64,-32,-40
s-02,-46,-52,-38,-80,-48,-66,-32,-42
s-02,-54,-52,-38,-34,-48,-66,-32,-42
s-02,-46,-52,-40,-34,-46,-66,-30,-36
s-02,-52,-52,-34,-34,-46,-66,-32,-36
s-02,-52,-50,-40,-36,-46,-66,-32,-38
s-02,-52,-50,-38,-34,-46,-64,-32,-36
s-02,-52,-50,-88,-34,-46,-64,-32,-42
s-02,-46,-48,-40,-34,-46,-64,-32,-40
s-02,-46,-52,-40,-36,-46,-64,-30,-32
s-02,-52,-48,-40,-34,-46,-68,-32,-38
s-02,-50,-48,-40,-36,-46,-68,-30,-38
s-02,-52,-48,-40,-34,-46,-64,-30,-36
s-02,-48,-48,-40,-36,-46,-64,-32,-42
s-02,-48,-48,-40,-34,-48,-64,-28,-36
s-02,-46,-48,-40,-34,-48,-90,-28,-36
s-02,-50,-48,-38,-34,-48,-68,-28,-36
s-02,-50,-48,-40,-34,-48,-66,-30,-36
s-02,-48,-48,-40,-34,-46,-66,-28,-36
s-02,-52,-46,-40,-34,-46,-66,-28,-36
s-02,-52,-48,-40,-54,-48,-66,-30,-36
s-02,-50,-48,-40,-34,-48,-66,-28,-36
s-02,-52,-48,-40,-36,-46,-66,-28,-36
s-02,-52,-50,-40,-34,-48,-66,-28,-36
s-02,-52,-48,-34,-34,-46,-66,-28,-36
s-02,-52,-48,-40,-34,-46,-70,-28,-36
s-02,-68,-52,-40,-36,-44,-70,-28,-32
s-02,-52,-48,-40,-34,-46,-66,-28,-32
s-02,-42,-50,-40,-34,-46,-66,-30,-60
s-02,-42,-46,-40,-36,-46,-66,-28,-36
s-02,-50,-48,-40,-34,-46,-66,-28,-34
s-02,-48,-48,-40,-38,-46,-66,-28,-34
s-02,-48,-50,-40,-34,-50,-68,-30,-84
s-02,-48,-50,-40,-34,-50,-64,-28,-28
s-02,-50,-50,-38,-50,-64,-64,-28,-30
s-02,-48,-52,-38,-34,-64,-66,-28,-28
s-02,-48,-52,-40,-34,-46,-66,-32,-30
s-02,-48,-50,-42,-36,-46,-66,-32,-32
s-02,-54,-52,-40,-34,-46,-66,-32,-28
s-02,-54,-50,-40,-58,-50,-66,-48,-30
s-02,-54,-50,-42,-34,-46,-66,-30,-28
s-02,-48,-50,-40,-34,-50,-66,-28,-28
s-02,-52,-50,-40,-34,-48,-66,-28,-28
s-02,-52,-52,-38,-34,-50,-64,-28,-28
s-02,-54,-52,-40,-50,-48,-64,-30,-32
s-02,-48,-52,-40,-34,-48,-64,-28,-32
s-02,-54,-52,-40,-34,-74,-64,-30,-30
s-02,-54,-52,-40,-34,-50,-64,-28,-30
s-02,-52,-50,-40,-34,-76,-64,-52,-36
s-02,-54,-50,-40,-34,-46,-64,-30,-32
s-02,-54,-50,-40,-34,-48,-64,-30,-32
s-02,-54,-50,-40,-36,-48,-64,-30,-32
s-02,-54,-50,-40,-34,-76,-66,-28,-32
s-02,-48,-50,-38,-34,-48,-66,-30,-90
s-02,-48,-50,-40,-36,-46,-66,-30,-32
s-02,-52,-50,-42,-34,-46,-66,-28,-32
s-02,-54,-50,-42,-34,-46,-66,-30,-32
s-02,-76,-50,-42,-34,-48,-66,-30,-32
s-02,-54,-52,-42,-88,-48,-66,-28,-32
s-02,-54,-50,-42,-36,-46,-66,-30,-32
s-02,-54,-50,-40,-34,-46,-66,-28,-34
s-02,-54,-52,-40,-34,-46,-66,-30,-36
s-02,-54,-50,-36,-34,-46,-66,-30,-36
s-02,-54,-50,-42,-34,-46,-66,-30,-32
s-02,-54,-52,-42,-34,-50,-66,-40,-34
s-02,-54,-52,-40,-34,-46,-66,-30,-32
s-02,-54,-52,-40,-34,-46,-66,-28,-32
s-02,-54,-52,-42,-76,-46,-66,-30,-32
s-02,-54,-50,-42,-34,-46,-66,-28,-32
s-02,-54,-50,-42,-34,-46,-70,-30,-32
s-02,-54,-50,-42,-34,-46,-70,-30,-32
s-02,-54,-50,-42,-36,-46,-66,-28,-34
s-02,-54,-50,-42,-34,-46,-66,-30,-32
s-02,-54,-50,-42,-34,-46,-66,-28,-32
s-02,-54,-52,-42,-34,-46,-66,-28,-34
s-02,-54,-52,-40,-34,-46,-66,-28,-32
s-02,-54,-50,-40,-34,-46,-66,-30,-34
s-02,-54,-52,-40,-34,-46,-66,-30,-32
s-02,-54,-52,-40,-34,-46,-66,-28,-32
s-02,-54,-50,-40,-34,-46,-66,-28,-32
s-02,-54,-50,-42,-36,-46,-66,-30,-32
s-02,-54,-90,-42,-34,-46,-66,-28,-32
s-02,-54,-50,-42,-34,-46,-66,-28,-32
s-02,-54,-52,-42,-34,-46,-66,-90,-32
s-02,-54,-52,-42,-34,-46,-66,-30,-32
s-02,-54,-52,-42,-34,-46,-66,-30,-32
s-02,-52,-48,-36,-34,-46,-66,-30,-32
s-02,-52,-50,-36,-34,-60,-64,-30,-32
s-02,-52,-52,-40,-34,-46,-64,-30,-32
s-02,-54,-52,-38,-34,-46,-64,-30,-32
s-02,-54,-50,-42,-36,-46,-66,-32,-32
s-02,-54,-52,-42,-34,-46,-64,-30,-32
s-02,-54,-50,-42,-36,-46,-64,-30,-32
s-02,-54,-50,-42,-34,-46,-64,-32,-32
s-02,-54,-52,-42,-36,-46,-64,-30,-32
s-02,-54,-52,-42,-48,-48,-64,-30,-32
s-02,-54,-50,-42,-34,-48,-64,-30,-32
s-02,-54,-50,-42,-34,-46,-66,-30,-32
s-02,-52,-50,-42,-36,-46,-64,-28,-32
s-02,-46,-52,-42,-34,-48,-64,-28,-32
s-02,-54,-52,-40,-34,-48,-64,-28,-32
s-02,-54,-50,-42,-36,-48,-64,-30,-32
s-02,-46,-60,-42,-36,-48,-66,-30,-32
s-02,-54,-50,-42,-34,-46,-66,-32,-32
s-02,-54,-50,-42,-34,-48,-66,-30,-32
s-02,-54,-50,-42,-36,-90,-64,-30,-32
s-02,-54,-50,-40,-34,-90,-66,-32,-32
s-02,-54,-50,-42,-36,-90,-66,-30,-32
s-02,-52,-50,-40,-34,-90,-70,-28,-40
s-02,-38,-50,-40,-34,-38,-60,-40,-44
s-02,-42,-44,-44,-48,-42,-64,-28,-36
s-02,-46,-46,-44,-50,-44,-60,-28,-34
s-02,-50,-44,-50,-44,-46,-60,-26,-34
s-02,-48,-44,-50,-48,-42,-62,-28,-34
s-02,-44,-46,-50,-48,-44,-62,-28,-34
s-02,-50,-46,-50,-48,-44,-60,-28,-32
s-02,-46,-48,-50,-48,-60,-62,-28,-32
s-02,-46,-46,-44,-44,-42,-62,-28,-34
s-02,-48,-48,-46,-48,-38,-62,-28,-34
s-02,-48,-46,-46,-48,-42,-62,-30,-36
s-02,-46,-46,-48,-48,-42,-62,-28,-34
s-02,-42,-48,-48,-48,-44,-60,-26,-34
s-02,-42,-48,-48,-48,-44,-62,-28,-34
s-02,-48,-48,-48,-46,-44,-64,-28,-80
s-02,-44,-44,-48,-48,-44,-60,-28,-36
s-02,-44,-44,-48,-48,-44,-60,-26,-34
s-02,-52,-48,-48,-48,-44,-62,-28,-36
s-02,-48,-46,-48,-48,-42,-62,-28,-32
s-02,-48,-46,-50,-48,-44,-62,-26,-34
s-02,-44,-48,-44,-48,-40,-60,-44,-36
s-02,-44,-46,-44,-50,-40,-60,-28,-32
s-02,-50,-46,-44,-50,-44,-60,-28,-34
s-02,-48,-46,-48,-48,-42,-60,-26,-32
s-02,-46,-46,-46,-48,-44,-60,-28,-36
s-02,-46,-44,-44,-48,-42,-60,-28,-34
s-02,-46,-44,-44,-42,-76,-60,-28,-34
s-02,-46,-44,-44,-50,-44,-60,-28,-36
s-02,-42,-84,-50,-48,-44,-62,-28,-36
s-02,-48,-44,-48,-48,-44,-62,-28,-34
s-02,-46,-44,-48,-48,-76,-62,-28,-32
s-02,-46,-60,-46,-48,-42,-62,-28,-34
s-02,-48,-60,-46,-48,-44,-62,-28,-32
s-02,-48,-44,-46,-48,-42,-62,-28,-36
s-02,-46,-44,-46,-50,-44,-60,-28,-36
s-02,-42,-44,-48,-48,-44,-62,-28,-34
s-02,-48,-44,-48,-48,-44,-62,-28,-34
s-02,-48,-44,-48,-48,-46,-60,-28,-36
