square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-42,-38,-30,-28,-54,-42,-52,-48,-56,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-30,-54,-48,-52,-44,-56,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-30,-54,-48,-60,-44,-60,D8:07:B6:6E:4E:0A
s-03,-42,-38,-28,-28,-54,-48,-48,-44,-56,D8:07:B6:6E:4E:0A
s-03,-46,-42,-28,-28,-54,-48,-48,-50,-56,D8:07:B6:6E:4E:0A
s-03,-46,-38,-28,-28,-54,-48,-48,-50,-50,D8:07:B6:6E:4E:0A
s-03,-46,-38,-28,-50,-48,-48,-48,-50,-50,D8:07:B6:6E:4F:80
s-03,-46,-56,-30,-26,-48,-48,-48,-44,-50,D8:07:B6:6E:4E:0A
s-03,-46,-56,-30,-26,-48,-56,-48,-50,-56,D8:07:B6:6E:4E:0A
s-03,-46,-36,-30,-28,-48,-56,-48,-50,-60,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-28,-48,-48,-46,-50,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-70,-48,-44,-50,-58,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-52,-48,-46,-50,-58,D8:07:B6:6E:4E:0A
s-03,-40,-72,-28,-28,-48,-46,-46,-46,-68,D8:07:B6:6E:4E:0A
s-03,-40,-72,-30,-28,-58,-46,-46,-52,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-56,-46,-46,-52,-56,D8:07:B6:6E:4E:0A
s-03,-42,-40,-48,-28,-56,-48,-46,-52,-70,D8:07:B6:6E:4E:0A
s-03,-38,-38,-48,-28,-56,-46,-46,-46,-70,D8:07:B6:6E:4E:0A
s-03,-38,-38,-28,-30,-56,-46,-46,-60,-58,D8:07:B6:6E:4F:80
s-03,-40,-36,-28,-28,-56,-48,-46,-52,-60,D8:07:B6:6E:4E:0A
s-03,-42,-38,-28,-28,-56,-48,-42,-52,-58,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-56,-68,-42,-52,-58,D8:07:B6:6E:4E:0A
s-03,-44,-40,-30,-28,-48,-68,-42,-44,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-68,-42,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-30,-54,-68,-58,-48,-54,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-26,-54,-46,-58,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-54,-48,-58,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-26,-54,-48,-42,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-54,-48,-48,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-36,-50,-28,-60,-48,-60,-50,-52,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-26,-60,-48,-56,-46,-54,D8:07:B6:6E:4E:0A
s-03,-40,-36,-44,-28,-60,-48,-66,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-36,-28,-28,-60,-48,-66,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-36,-28,-28,-48,-48,-48,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-28,-50,-48,-48,-48,-48,-56,D8:07:B6:6E:4F:80
s-03,-40,-36,-32,-28,-74,-48,-48,-48,-64,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-54,-48,-48,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-70,-32,-30,-54,-46,-48,-44,-60,D8:07:B6:6E:4E:0A
s-03,-40,-56,-50,-28,-72,-48,-48,-48,-58,D8:07:B6:6E:4E:0A
s-03,-42,-56,-30,-28,-72,-48,-48,-54,-56,D8:07:B6:6E:4E:0A
s-03,-42,-36,-30,-30,-72,-48,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-72,-46,-48,-44,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-72,-48,-48,-44,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-72,-46,-46,-44,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-52,-28,-48,-48,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-52,-28,-48,-46,-46,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-44,-48,-48,-46,-44,-60,D8:07:B6:6E:4F:80
s-03,-42,-40,-30,-30,-54,-48,-46,-44,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-56,-48,-46,-52,-54,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-26,-56,-48,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-74,-32,-28,-56,-48,-60,-44,-58,D8:07:B6:6E:4E:0A
