ssid,quality,signal,mac,square
AP-07,68/70,-42,50:04:B8:89:A4:F4,s-01
AP-08,68/70,-42,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-34,98:DE:D0:8F:0A:38,s-01
AP-01,66/70,-44,D8:07:B6:6E:4E:F4,s-01
AP-02,66/70,-44,D8:07:B6:6E:4F:80,s-01
AP-03,50/70,-60,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,66/70,-44,D8:07:B6:6E:4B:E8,s-01
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-01
AP-07,70/70,-40,50:04:B8:89:A4:F4,s-01
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-32,98:DE:D0:8F:0A:38,s-01
AP-01,64/70,-46,D8:07:B6:6E:4E:F4,s-01
AP-02,66/70,-44,D8:07:B6:6E:4F:80,s-01
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-01
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-01
AP-05,68/70,-42,D8:07:B6:6E:4B:E8,s-01
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-01
AP-07,70/70,-40,50:04:B8:89:A4:F4,s-01
AP-08,66/70,-44,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-32,98:DE:D0:8F:0A:38,s-01
AP-01,38/70,-72,D8:07:B6:6E:4E:F4,s-01
AP-02,66/70,-44,D8:07:B6:6E:4F:80,s-01
AP-03,64/70,-46,D8:07:B6:6E:4E:0A,s-01
AP-04,50/70,-60,D8:07:B6:6E:4D:A6,s-01
AP-05,70/70,-40,D8:07:B6:6E:4B:E8,s-01
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-01
AP-07,70/70,-40,50:04:B8:89:A4:F4,s-01
AP-08,62/70,-48,58:7F:66:BF:D2:98,s-01
AP-00,70/70,-32,98:DE:D0:8F:0A:38,s-01
AP-01,66/70,-44,D8:07:B6:6E:4E:F4,s-01
