ssid,quality,signal,mac,square
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,62/70,-48,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,64/70,-46,D8:07:B6:6E:4E:0A,s-02
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-02
AP-05,64/70,-46,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-26,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-26,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-26,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,70/70,-40,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,50/70,-60,D8:07:B6:6E:4E:0A,s-02
AP-04,68/70,-42,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,70/70,-40,98:DE:D0:8F:0A:38,s-02
AP-01,38/70,-72,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,66/70,-44,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,34/70,-76,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-32,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,66/70,-44,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,34/70,-76,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-19,D8:07:B6:6E:4F:80,s-02
AP-03,60/70,-50,D8:07:B6:6E:4E:0A,s-02
AP-04,64/70,-46,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-26,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,62/70,-48,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-26,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,64/70,-46,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-26,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,70/70,-40,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-17,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,66/70,-44,D8:07:B6:6E:4D:A6,s-02
AP-05,34/70,-76,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,58/70,-52,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-17,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,58/70,-52,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,64/70,-46,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-28,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-30,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-32,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-30,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-30,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,32/70,-78,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-30,D8:07:B6:6E:4E:0A,s-02
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-02
AP-05,30/70,-80,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,32/70,-78,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-30,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,50/70,-60,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-40,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-34,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,60/70,-50,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-36,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,54/70,-56,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-28,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-34,D8:07:B6:6E:4E:0A,s-02
